Place_Id,Place_Name,Description,Categories,City,Price(RPH),Ratings,Time_Minutes,Coordinate,lat,Long
11,Angel Island,"Bidadari Island is one of the resorts in the Thousand Islands Regency, Jakarta. Before it was named Bidadari Island, this island had two names, namely Pulau Sakit and Pulau Purmerend",Islands,Jakarta,5000,4.6,,"{'lat': -6.035832999999999, 'lng': 106.746944}",-6.035833,106.746944
12,Pari Island,"Pari Island is an island located in the Thousand Islands in the Special Capital Region of Jakarta, Indonesia.",Islands,Jakarta,150000,4,,"{'lat': -5.9074328, 'lng': 106.5863989}",-5.9074328,106.5863989
13,Scout Island,Pramuka Island is one of the islands in the Thousand Islands cluster. This island is the administrative and governmental center of the Thousand Islands Administrative District. Pramuka Island is included in the Panggang Island Village area.,Islands,Jakarta,5000,4.2,,"{'lat': -5.745962, 'lng': 106.6136577}",-5.745962,106.6136577
14,Rainbow Island,"Pelangi Island is an island located in the Thousand Islands in the Special Capital Region of Jakarta, Indonesia. Pelangi Island is an island located in the Thousand Islands in the Special Capital Region of Jakarta, Indonesia, Pelangi Island / commonly called Pulau Petondan Besar (Rainbow Island) is a resort island that is suitable for a vacation. This island resort has a natural concept, because some of its areas are filled with groves of trees that are soothing to the eyes. The beauty of nature and the sea are worth visiting. Surrounded by a grove of trees and clear blue sea, the atmosphere is cool and comfortable. Ideal conditions for traveling with family. With accommodation directly facing the sea, tourists will feel at home for a long time on Pelangi Island. According to information, Pelangi Island or Petondan Besar Island is an island in the Thousand Islands cluster. Administratively, it is part of the Thousand Islands Administrative District, DKI Jakarta province. Along with Petondan Kecil Island is a holiday resort. It is located adjacent to the same cluster as Kelor Island and Kelapa Island. It takes 90 minutes to reach Pelangi Resort from the Mutiara Beach pier. There is a special speedboat at pier R1 Mutiara Beach that takes passengers there. Located 60 ? 70 km from Mutiara Beach, it is quite far. But your trip will pay off once you arrive at Pelangi Island.",Islands,Jakarta,900000,4.8,,"{'lat': -5.587055, 'lng': 106.5885}",-5.587055,106.5885
15,Art market,"Pasar Seni is a craft and arts center which is a place for talented artists to channel their artistic crafts. Artists can meet with art collectors and entrepreneurs to share information and market their products. Founded in early 1977, with the laying of the first stone by Bang Ali Sadikin, the first Governor of DKI Jakarta, in July 1977 to be precise. And inaugurated by Governor H. Tjokropanolo on December 17, 1977. Since the inauguration of the Art Market, it has received a positive response from art lovers which exists.",Shopping center,Jakarta,0,4.4,90,"{'lat': -6.1766868, 'lng': 106.8417666}",-6.1766868,106.8417666
16,Diamond City Bridge,"The Kota Intan Bridge is the oldest bridge in Indonesia which was built in 1628 by the Vereenigde Oostindische Compagnie or VOC government, or our people are more familiar with the Kumpeni title. The bridge is now located in the Kali Besar area of the Old City area of West Jakarta and is under the management of the DKI Jakarta Provincial Tourism and Culture Office.",Culture,Jakarta,0,4.3,,"{'lat': -6.1314572, 'lng': 106.8106169}",-6.1314572,106.8106169
17,Fatahillah Museum,"The Fatahillah Museum, officially known as the Jakarta History Museum, is a museum located at Jalan Taman Fatahillah No. 1, West Jakarta with an area of more than 1,300 square meters. This building was formerly the city hall of Batavia (Dutch: Stadhuis van Batavia) which was built in 1707-1710 by order of Governor-General Joan van Hoorn. This building resembles the Dam Palace in Amsterdam, consisting of a main building with two wings on the east and west and side buildings used as offices, courtrooms, and underground rooms used as prisons. On March 30, 1974, this building was inaugurated by Mr. Ali Sadikin as the Jakarta History Museum.",Culture,Jakarta,5000,4.4,,"{'lat': -6.136448899999999, 'lng': 106.8130661}",-6.1364489,106.8130661
18,Indonesian Bank Museum,"Museum Bank Indonesia is a museum in Jakarta, Indonesia which is located on Jl. Pintu Besar Utara No.3, West Jakarta (in front of the Beos Kota station), occupying the area of the former Bank Indonesia Kota building which is a cultural heritage from De Javasche Bank with a neo-classical wing, combined with local influences, and was first built in 1828 .\nIn 1625, a simple church was built in this place for Protestants. In 1628, this church was dismantled because it was used for a large cannon when tens of thousands of Sultan Agung's troops attacked Batavia for the first time. This museum presents information on the role of Bank Indonesia in the history of the nation that began before the arrival of western nations in the archipelago until the formation of Bank Indonesia in 1953 and Bank Indonesia policies, including the background and impact of Bank Indonesia policies on society up to 2005. The presentation is packaged in such a way by utilizing modern technology and multi-media, such as electronic displays, static panels, plasma televisions and dioramas so that creating comfort for visitors in enjoying the Museum of Bank Indonesia. Apart from that, there are also facts and collections of historical objects in the period before the formation of Bank Indonesia, such as during the time of the archipelago kingdoms, including collections of numismatic money which were also displayed in an attractive manner. and began to be opened to the public (soft opening) on December 15, 2006 by the Governor of Bank Indonesia at that time, Burhanuddin Abdullah, and the inauguration of phase II (grand opening) by the President of the Republic of Indonesia Susilo Bambang Yudhoyono, on July 21, 2009. \nBank Indonesia Museum opens every day except Monday and national holidays.",Culture,Jakarta,2000,4.7,,"{'lat': -6.137127, 'lng': 106.813005}",-6.137127,106.813005
19,Kidzania,"KidZania is a private Mexican franchise of family entertainment centers currently operating in 23 locations, which allows children to do adult jobs and get paid. KidZania has been visited by over 31 million visitors worldwide since its opening, making it one of the fastest growing global entertainment brands in the world.",Amusement park,Jakarta,185000,4.6,300,"{'lat': -6.225073499999999, 'lng': 106.8097144}",-6.2250735,106.8097144
20,Inscription Park Museum,"The Prasasti Park Museum is a museum of cultural heritage from the Dutch colonial period which is located at Jalan Tanah Abang No. 1, Central Jakarta. This museum has a collection of ancient gravestone inscriptions and miniature tombs typical of 27 provinces in Indonesia, along with a collection of antique hearses. This 1.2 hectare museum is an open-air museum that displays works of art from the past about the sophistication of sculptors, sculptors, calligraphers and writers who were united.",Culture,Jakarta,2000,4.5,90,"{'lat': -6.172224099999998, 'lng': 106.8189695}",-6.1722241,106.8189695
21,Puppet Museum,"The Puppet Museum is a museum located at Jalan Pintu Besar Utara Number 27, West Jakarta.",Culture,Jakarta,5000,4.5,150,"{'lat': -6.1349072, 'lng': 106.8124452}",-6.1349072,106.8124452
22,Istiqlal Mosque,"The Istiqlal Mosque (literal meaning: Merdeka Mosque) is the national mosque of the Republic of Indonesia, located in the former Wilhelmina Park, in the Northeast of Medan Merdeka Square, in the center of which stands the National Monument (Monas), in the center of the capital city, Jakarta. This mosque is one of the 10 largest capacity mosques in the world which can accommodate more than 200,000 worshippers. On the east side of this mosque stands the Jakarta Cathedral Church. The Daily Chairperson of the Istiqlal Mosque Management Agency (BPMI) as well as the High Priest of the Istiqlal Mosque are Prof. Dr. Nasaruddin Umar, MA The construction of this mosque was initiated by the then President of the Republic of Indonesia, Ir. Sukarno. The laying of the first stone to mark the commencement of the construction of the Istiqlal Mosque was carried out by Ir. Soekarno on August 24, 1961. The architect of the Istiqlal Mosque was Frederich Silaban, a Christian. This mosque has a modern architectural style with marble walls and floors, decorated with geometric ornaments made of stainless steel. The main building of this mosque consists of five floors and one ground floor. The main building is crowned with a large dome with a diameter of 45 meters which is supported by 12 large pillars. A single tower with a total height of 96.66 meters rises in the south corner of the mosque's corridor. This mosque can accommodate more than 200,000 worshipers. Apart from being used as a Muslim worship activity, this mosque is also used as the office of various Islamic organizations in Indonesia, social activities, and general activities. This mosque is also one of the famous tourist attractions in Jakarta. Most tourists who visit are generally domestic tourists in addition to some foreign tourists who are Muslim. Non-Muslim communities can also visit this mosque after previously receiving information about Islam and the Istiqlal Mosque, although non-Muslims are allowed to visit the area and must be accompanied by a guide. , Hijriyah New Year, Birthday of the Prophet Muhammad as well as Isra and Mi'raj, the President of the Republic of Indonesia always holds religious activities at this mosque which are broadcast live on national television (TVRI) and some private television.",Religious,Jakarta,0,4.7,,"{'lat': -6.17017, 'lng': 106.83139}",-6.17017,106.83139
23,Cathedral Church,"Jakarta Cathedral Church, or officially named the Church of Santa Maria Assumption (German: De Kerk van Onze Lieve Vrouwe ten Hemelopneming; English: The Church of Our Lady of the Assumption) is a church in Jakarta. This church building was inaugurated in 1901 and was built with neo-gothic architecture from Europe, namely the architecture that was very commonly used to build church buildings several centuries ago.",Religious,Jakarta,0,4.8,,"{'lat': -6.169225000000001, 'lng': 106.833063}",-6.169225,106.833063
24,National Museum,"The National Museum of the Republic of Indonesia or the Elephant Museum, is an archeology, history, ethnography and geography museum located in Central Jakarta and precisely at Jalan Merdeka Barat 12. This museum is the first and largest museum in Southeast Asia.",Culture,Jakarta,5000,4.6,,"{'lat': -6.176402099999999, 'lng': 106.8215901}",-6.1764021,106.8215901
25,Tanah Abang Market,"Pasar Tanah Abang or Pasar Sabtu was built by Yustinus Vinck on August 30, 1735. Justin Vinck established Pasar Tanah Abang Pasar with permission from Governor General Abraham Patramini. The permit granted at that time for the Tanah Abang Market was to sell textiles and grocery goods and was only open every Saturday. Therefore, this market is called the Saturday Market. This market was able to compete with Pasar Senen (Welter Vreden), which had already advanced. In 1881, the Tanah Abang Market was rebuilt and what was previously open on Saturdays was added on Wednesdays, so that the Tanah Abang Market was opened 2 times a week. The market building was originally very simple, consisting of bamboo walls and planks and a thatched roof of 229 planks and 139 bamboo plots. Tanah Abang Market continued to undergo repairs until the end of the 19th century and the floors began to be hardened with a mortar foundation. In 1913, the Tanah Abang Market was repaired again. In 1926 the Batavian government dismantled the Tanah Abang Market and replaced it with a permanent building in the form of three long booths made of walls and boards and tiled roofs, with the market office located on top of the market building resembling a bird cage. The parking lot in front of the market is a parking lot for horses and carts. There is a large water trough there, and across the street is a shop that specializes in horse fodder. A few tens of meters from the bran shop there is an alley known as Gang Madat, where compactors are localized. During the Japanese occupation, this market barely functioned, and became a place for homeless people. Tanah Abang Market has grown after the construction of Tanah Abang Station. At that location, places such as the Al Makmur Mosque and the Hok Tek Tjen Sien Temple were built, both of which are the same age as Tanah Abang Market. In 1973, Tanah Abang Market was rejuvenated, replaced with 4 four-story buildings, and had experienced two fires, the first on 30 December 1978, Block A on the third floor and the second hit Block B on 13 August 1979. In 1975 it was recorded that there were stalls 4,351 pieces with 3,016 traders.",Shopping center,Jakarta,0,4,45,"{'lat': -6.189009599999999, 'lng': 106.8119312}",-6.1890096,106.8119312
26,Glodok Chinatown,"The Glodok area, which is known as the center of electronic commerce itself, was once the former haunted Glodok Prison. This location is across from Glodok-Pancoran in the Harco area. Before the riots in May 1998, this area had become an electronic shopping center for tourists from Japan, Taiwan and Hong Kong. In Pinangsia, people can find household and building products. Apart from shopping tours, the Glodok-Pancoran Chinatown is also a historical site for the beginnings of the City of Jakarta. After the ethnic Chinese settled and built businesses, as well as sugarcane plantations, Batavia began to grow rapidly.",Shopping center,Jakarta,0,4.3,20,"{'lat': -6.142758799999999, 'lng': 106.8140791}",-6.1427588,106.8140791
27,Sea World,"Seaworld Indonesia is a miniature sea charm contained in the first tourist complex at Taman Impian Jaya Ancol. On October 2, 1992, the Governor of DKI at that time, Wiyogo Atmodarminto laid the first stone for the development of Seaworld Indonesia. In less than two years, on June 3, 1994 SeaWorld Indonesia started operating. The Seaworld area of 3 hectares with a main building area of 4,500 m2 contains various kinds of aquariums, Antasena tunnel (underwater tunnel), library, museum, doctor fish therapy, glow theater, touch screen educational computers containing information on various species at Seaworld and various complementary facilities for visitors such as places to eat, gift shops, and function rooms.",Amusement park,Jakarta,115000,4.5,180,"{'lat': -6.126477500000001, 'lng': 106.842963}",-6.1264775,106.842963
28,Cibugary Milk Palace Agro-Educative Tourism,"The Agro-Educative Tourism Area É??CibugaryÉ? Milk Palace (Cibubur Garden Dairy) is a dairy farming agro area with garden and garden nuances. Cibubur Garden Dairy educational tour (CIBUGARY) is an educational tour that is of interest to school students. Educational introduction to cattle farming provides an unforgettable experience for school students. This educational activity, which is not too much and fun, is very much liked by school students. With this educational tour can add knowledge and experience directly for school students. The Cibugary Milk Palace educational tour package costs between Rp. 35,000 to Rp. 65,000 per person. This price includes several bottles of pasteurized milk and cibugary goodybags.",Amusement park,Jakarta,35000,4.5,,"{'lat': -6.3568093, 'lng': 106.9062371}",-6.3568093,106.9062371
29,Pecenongan Culinary Tour,"Pecenongan is a culinary paradise in Central Jakarta which has been known since the days when Jakarta was still called the city of Batavia. Previously, in this area there were street vendors selling culinary delights on the side of the road, but year after year the Pecenongan area is getting busier with restaurants that are starting to be built. This Pecenongan area is suitable for those of you who want to have a culinary tour at night, various types of culinary delights that will certainly make you confused about which one to try first. It's no wonder that people who have tried going to culinary here will definitely come back again.",Shopping center,Jakarta,0,5,,"{'lat': -6.166788700000001, 'lng': 106.8265261}",-6.1667887,106.8265261
30,Menteng Park,"Menteng Park is a park located in the Menteng area, Central Jakarta. This park was formerly occupied by the Menteng Stadium. This park stands on an area of 2.9 hectares, and has a collection of 30 different plant species. Menteng Park also has various supporting facilities such as a playground for children as well as futsal and basketball courts. Uniquely, in this park there are also 44 infiltration wells to help absorb rainwater into the ground.",Amusement park,Jakarta,0,4.5,,"{'lat': -6.1964087, 'lng': 106.8293106}",-6.1964087,106.8293106
31,Angke Mangrove Nature Tourism,"Do not assume that in Jakarta there are no natural attractions. Immediately go to North Jakarta, to be precise at Kamal Muara Penjaringan or Pantai Indah Kapuk. In this area there is a natural tourism area, namely the Jakarta Mangrove Tourism Park which is now and in recent years being a hit. In this area there are three areas, one in the form of the Muara Angke Wildlife Sanctuary which is closed to the public, the Mangrove Forest which belongs to the DKI Provincial Government but is not so attractive for tourism. Furthermore, the Angke Mangrove Nature Park is indeed a tourism area based on mangrove conservation.",Nature preserve,Jakarta,25000,4.3,,"{'lat': -6.105334, 'lng': 106.735584}",-6.105334,106.735584
32,Set Babakan,"Setu Babakan or Lake Babakan is located in Srengseng Sawah, Jagakarsa sub-district, South Jakarta Municipality, Indonesia near Depok which serves as the center of the Betawi Cultural Village, an area designated for the preservation of Jakarta's cultural heritage, namely the original Betawi culture. \nThis Betawi cultural village was founded in dated August 18, 2000 through the Decree of the Governor of DKI Number 92 of 2000 issued by the Governor of DKI Jakarta at that time namely Sutiyoso\nSitu Babakan is an artificial lake with an area of 30 hectares (79 acres) with a depth of 1-5 meters where the water comes from the Ciliwung River and is currently used as an alternative tourist spot, for residents and visitors. -nam, and Jengkol. Many Betawi specialties can be found here, including Egg Kerak, Fried Toge, Arum Manis, Duck Rujak, Soto Betawi, Cut Ice, Duren Ice, Pletok Bir, Uduk Rice, Ulam Rice, Lontong Sayur, etc. .\nThe cultural tourism presented includes typical Betawi houses which are divided into 3 types, the first Betawi house is a warehouse or stable, the second is a Betawi Kebaya or Bapang house, and the third is a Joglo house, almost similar to a typical Yogyakarta house. Lenong, Mask Dance, Tanjidor, Marawis, Gambang Kromong, Lenggang Nyai Dance, and Narojeng Dance. \nTraditional ceremonies in the Betawi Setu Babakan village are Circumcision Bride, Moving House, Khatam Qur'an, and Nujuh Bulan. Setu Babakan is Betawi, with a program from the DKI regional government to improve existing facilities and infrastructure to accommodate the need for green open spaces, as well as areas for water absorption, Setu Babakan is improving itself with full support from the DKI regional government. The function of Setu is not only for preserving Betawi culture which is increasingly eroded by the times, but is also used as an alternative place for recreation which is located in the south of Jakarta. Apart from its main function as a catchment reservoir for South Jakarta,",Culture,Jakarta,0,4.4,,"{'lat': -6.341666699999999, 'lng': 106.8238889}",-6.3416667,106.8238889
33,Suropati Park,"Suropati Park (originally named Burgemeester Bisschopplein) is the name of a park in Jakarta. Initially the name of this park was taken from the name of the first mayor of Batavia, GJ Bisshop (1916-1920). This park is the center of the Menteng area, located right between the confluence of three main roads, namely Menteng Boulevard (Jalan Teuku Umar), Orange Boulevard (Jalan Diponegoro), and Nassau Boulevard (Jalan Imam Bonjol). The field, which is now known as Taman Suropati, since 1920 has replaced a large round field in the Moojen Plan. Suropati Park, which is touted as the zero point of the Republic of Indonesia, is a shady park and since a few years ago has been decorated with statues by sculptors from the founding countries of the Association of Southeast Asian Nations.",Amusement park,Jakarta,0,4.6,,"{'lat': -6.1994034, 'lng': 106.8326228}",-6.1994034,106.8326228
34,Puring Garden Market,"Puring Park is not a literal garden. Since its existence in 1960, Taman Puring is a market. Over the years, this market had become a black market alias market for illegal goods. Between the 1980s and 1990s, this market was increasingly shunned by the public because it became a center for goods resulting from criminal acts. Since it caught fire in 2002, Taman Puring Market has slowly improved itself until now it has become a favorite weekend shopping destination for Jakartans. There are hundreds of men's shoe stalls ranging from leather shoes, mountain shoes, futsal shoes, to slang shoes typical of young people. Various brands ranging from Adidas, Caterpillar, Nike, Karrimor, Vans, to Converse are available in various models and colors.",Shopping center,Jakarta,0,4.4,60,"{'lat': -6.241368999999999, 'lng': 106.7890587}",-6.241369,106.7890587
35,Grand Indonesia Mall,"Grand Indonesia is a mall in Jakarta. This mall was opened in 2007 by President Susilo Bambang Yudhoyono. In 2007, Hotel Indonesia underwent a restoration. Furthermore, after reopening, the hotel was managed by the Kempinski group and the name was changed to Hotel Indonesia-Kempinski.",Shopping center,Jakarta,0,4.7,120,"{'lat': -6.195180099999999, 'lng': 106.8204412}",-6.1951801,106.8204412
36,Skyrink - Taman Anggrek Mall,"One of Jakarta's ice skating rinks is Taman Anggrek Ice Skating. The ice skating area at Taman Anggrek is made up of 1,248 square meters. The grandest ice skating in Indonesia is at Taman Anggrek. Not only the grandest in Indonesia but also the grandest in Asia. So it's not surprising that so many visitors come.",Amusement park,Jakarta,110000,4.5,180,"{'lat': -6.178996, 'lng': 106.791941}",-6.178996,106.791941
37,Cibubur Camping Ground,"Cibubur Scout Tourism Campground and Graha (Buperta Cibubur) is a camping area located in Cibubur, Ciracas, East Jakarta. This area has an area of 210 hectares and has been the location for the National Jamboree many times since 1973. Buperta Cibubur was built in an area that was previously a rubber forest. The management also works with the Army and Air Force in the management of the Cibubur Buperta. The Cibubur Buperta can be accessed from the Kampung Rambutan Terminal by public transportation to Kranggan or Mekarsari Jonggol,",Amusement park,Jakarta,10000,4.5,,"{'lat': -6.360248700000001, 'lng': 106.893842}",-6.3602487,106.893842
38,State Palace of the Republic of Indonesia,"The State Palace is the center of state government activities. Many state activities were held at the State Palace. Such as the inauguration of important state officials, as well as the opening of national and international congresses. The function of the State Palace is more focused on official presidential activities, namely as the office of the President of the Republic of Indonesia. Reported by the website of the Secretary of State (Sesneg), the State Palace was originally the private residence of a Dutch citizen, JA Van Braam.",Culture,Jakarta,0,4.6,,"{'lat': -6.168069000000001, 'lng': 106.8239727}",-6.168069,106.8239727
39,Macan Museum (Modern and Contemporary Art in Nusantara),"The Museum of Modern and Contemporary Art in the Archipelago or Museum MACAN is an art museum in Kebon Jeruk in Jakarta, Indonesia. This museum is the first in Indonesia to have a collection of modern and contemporary Indonesian and international art.",Culture,Jakarta,100000,4.5,120,"{'lat': -6.190942, 'lng': 106.767622}",-6.190942,106.767622
40,Indonesian National Gallery,"The National Gallery of Indonesia (English: National Gallery of Indonesia) is a state cultural institution or as a museum of modern and contemporary art. Here there is a building that functions, among other things, as a venue for exhibitions and exhibitions of Indonesian and foreign art. This building is a government-owned institution under the Minister of Education and Culture. The functions of the National Gallery of Indonesia are to carry out studies, collection, registration, maintenance, security, exhibitions, partnerships, educational services and publication of works of art. Then its main function is to protect, develop, and utilize artistic assets (fine arts) as educational and cultural facilities. The National Gallery is located at Jalan Medan Merdeka Timur No. 14 Central Jakarta.",Culture,Jakarta,0,4.6,,"{'lat': -6.178548200000001, 'lng': 106.8327716}",-6.1785482,106.8327716
41,Jakarta Maritime Museum,The Maritime Museum is a museum that holds collections related to maritime affairs and Indonesian services from Sabang to Merauke which are located across from Sunda Kelapa Harbour. The museum is one of eight museums under the supervision of the Museum Culture Office of the Special Capital Region of Jakarta.,Culture,Jakarta,2000,4.4,120,"{'lat': -6.1269553, 'lng': 106.8085899}",-6.1269553,106.8085899
42,Museum of Fine Arts and Ceramics,"The Museum of Fine Arts and Ceramics (Indonesia: Museum of Fine Arts and Ceramics) is a museum in Jakarta, Indonesia. This museum is specifically dedicated to displaying Indonesian traditional art and ceramics. This museum is located on the east side of Fatahillah Square, near the Jakarta History Museum and the Wayang Museum.",Culture,Jakarta,5000,4.4,,"{'lat': -6.1342598, 'lng': 106.814552}",-6.1342598,106.814552
43,The Escape Hunt,"Escape Hunt is a recreation area located in South Jakarta. In this place, you will act as a detective who is in a locked room and only given 1 hour to solve the puzzle. No need to worry or be afraid of being alone, because here you can invite up to 4 of your friends in the same room and solve cases together. Very interesting, isn't it? The first time you arrive at this place, you will be guided to fill in the data in the form provided and given a briefing by the game guide regarding the theme/case storyline that you have determined.",Amusement park,Jakarta,70000,4.4,120,"{'lat': -6.2555033, 'lng': 106.8122591}",-6.2555033,106.8122591
44,Welcome Monument,"The Selamat Datang Monument is a monument located in the middle of the Hotel Indonesia roundabout, Jakarta, Indonesia. This monument is a statue of a pair of humans holding flowers and waving their hands. The statue faces north which means they welcome people coming from the direction of the National Monument.",Culture,Jakarta,0,4.7,15,"{'lat': -6.194997799999999, 'lng': 106.8230496}",-6.1949978,106.8230496
45,Jakarta Aquarium and Safari,"If you have visited Seaworld Ancol, you may already be familiar with the thrill of watching marine life. If not satisfied, visitors can try visiting unique marine animal tours at the Jakarta Aquarium. The Jakarta Aquarium occupies an area of Ò7000 m2 and offers modern marine tourism attractions that are not only entertaining but also educative. Although not as large as SeaWorld Ancol, this recreational park also offers rides and attractions that are no less interesting.",Amusement park,Jakarta,185000,4.6,,"{'lat': -6.1752647, 'lng': 106.7904684}",-6.1752647,106.7904684
46,Deciduous Island,"Semak Daun Island is one of the islands located in the Thousand Islands cluster. Administratively, this island is included in the Thousand Islands district, DKI Jakarta province as a hawksbill turtle breeding area with comfortable beaches for swimming because the beaches are clean and sloping, white sand, and free of sea urchins, there are also good areas for diving and snorkeling beginners and it is not far from Pramuka Island.",Islands,Jakarta,40000,4,,"{'lat': -5.729671599999999, 'lng': 106.5714158}",-5.7296716,106.5714158
47,Situ Lembang Park,"Situ Lembang Park is a city park located in the center of Jakarta. Situ means a brackish lake, while Lembang is the name of the road near the park..\nThis park is one of the oldest parks in Jakarta and has a small lake whose water comes from a natural spring. In this park there are fishing arena facilities, running tracks, and children's play areas. Situ Lembang Park is surrounded by houses in the elite area of Menteng",Amusement park,Jakarta,0,4.5,,"{'lat': -6.1978861, 'lng': 106.8346708}",-6.1978861,106.8346708
48,Ismail Marzuki Park,"The Jakarta Arts Center Taman Ismail Marzuki, popularly known as Taman Ismail Marzuki (TIM) is an arts and culture center located on Jalan Cikini Raya 73, Central Jakarta. Here is located the Jakarta Art Institute and the Jakarta Planetarium. In addition, TIM also has six modern theatres, exhibition halls, galleries, archives and cinemas. Art and cultural events are regularly held at this arts centre, including drama, dance, wayang, music, poetry readings, painting exhibitions and film shows. Various types of traditional and contemporary art, both original traditions from Indonesia and from abroad, can also be found in this place. The name of this arts center comes from the name of the famous Indonesian songwriter, Ismail Marzuki.",Culture,Jakarta,5000,4.6,,"{'lat': -6.1891586, 'lng': 106.8397738}",-6.1891586,106.8397738
49,Rich Indonesia Gallery,"Galeri Indonesia Kaya (abbreviated as GIK) is a public space that combines educational and digital concepts with the aim of introducing and appreciating Indonesian arts and culture, especially to the younger generation, which is located at Grand Indonesia, Jakarta, Indonesia. Galeri Indonesia Kaya was initiated and built to become a digital technology-based cultural edutainment space that can bring closer and channel the creativity of expression of the younger generation within the scope of the archipelago's cultural traditions. This place has an auditorium that can be used for people who need a place to work.",Culture,Jakarta,0,4.8,90,"{'lat': -6.1948499, 'lng': 106.8200607}",-6.1948499,106.8200607
